Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-12,-20,-13,-8,-9,-7,-4,-6,1,-14,58,1,-2,-6,2,2,1
-2,21,123,16,9,14,2,-1,2,5,-48,4,5,2,3,-1,1
-6,-48,-77,-4,-8,-8,-1,-2,-15,-15,-55,-17,-6,0,0,-4,1
3,0,41,6,-1,0,-2,-1,1,-18,-58,-3,4,4,-1,0,1
-10,13,4,-18,-8,-13,-6,-5,-1,18,0,-7,-8,-6,-4,-3,1
-2,-58,-11,1,2,-3,0,0,-4,24,48,0,-6,-3,-6,-5,1
3,26,4,-8,-3,-1,-2,-1,9,-23,-37,12,0,-1,3,4,1
-5,-27,-32,-5,1,-2,0,-3,-4,85,47,0,-5,3,-2,-6,1
-3,43,127,5,3,-2,-3,-3,-8,-79,-79,-20,-6,-4,-5,-3,1
6,43,18,16,0,-14,-1,1,-8,-34,-49,-15,-10,-8,-4,-1,1
5,65,-28,0,1,1,0,2,5,14,120,10,5,7,2,0,1
8,20,83,16,9,5,1,3,-24,-101,-111,-24,-7,-3,-5,-9,1
1,-35,17,9,2,0,-2,0,4,60,14,-2,2,1,-3,-1,1
0,8,21,1,-4,-2,-2,0,2,4,32,-1,-8,-13,-5,-2,1
4,-12,-40,8,6,5,0,0,13,24,56,15,8,-1,4,8,1
-8,-44,-84,-9,-11,-4,-2,-4,-2,41,21,-7,-2,1,0,-1,1
1,-6,48,2,1,5,4,1,13,50,38,17,11,8,4,5,1
-9,2,25,-16,-7,-10,-2,-2,-1,-56,-50,-6,-2,4,1,1,1
0,24,-31,-8,-2,6,2,-2,-5,-38,-128,-8,-6,-5,-5,-3,1
